id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
613864,Polska,Jaworzno,Jaworzno,Jaworzno,Jaworowa,32,43-602,1b8e75c9c1221e9d0c38059f5705fc2b26c7ff8e
614674,Polska,Mysłowice,Mysłowice,Mysłowice,Dolna,27B,41-400,58c4213d5cea8a3fbcb8b0e78d83049940bb37ea
616935,Polska,Jaworzno,Jaworzno,Jaworzno,Mylna,17,43-602,b72bf2d589b90afdd9d5522e9b6382367390658d
617032,Polska,Jaworzno,Jaworzno,Jaworzno,"Władysława Orkana",9,43-602,cc843f469261120166fa2325cf3f9902714037f7
617272,Polska,Mysłowice,Mysłowice,Mysłowice,"Adama Dzióbka",45E,41-400,1563fd0be28ef045b0bbf659d64b5fdadcd43ed7
618041,Polska,Jaworzno,Jaworzno,Jaworzno,Krakowska,114,43-600,bf003ef0e88837d94d873ed8c5045c605be21a3b
619004,Polska,Jaworzno,Jaworzno,Jaworzno,Storczyków,7A,43-603,6db187beb599e7319158c328af97871843bb338e
619015,Polska,Jaworzno,Jaworzno,Jaworzno,"Stanisława Witkiewicza",6,43-608,3b5daced382803740486b8314165e9f398df589e
619899,Polska,Jaworzno,Jaworzno,Jaworzno,"gen. Józefa Chłopickiego",17,43-600,60b78503a4a6406c54d2e6fdf2a1c846d067ef8e
621265,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE",PRZYJAŹNI,24B,41-103,bc4b5921adaf1ba8df80e52b5ddfa8ca70218a42
622252,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE",WYZWOLENIA,9D,41-103,f74cf6eb66564735f608a6903f4925237af87f44
623171,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","WŁADYSŁAWA ŁOKIETKA",29D,41-106,6487ca9530b83cf275f9c3317f71a4939df98df7
623567,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE",WOJCIECHA,1,41-103,71ba5f64b823ee89aff262e21b34c63921376bd3
624020,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","ALFONSA ZGRZEBNIOKA",31,41-106,0e7b020d06e79800649dec752a55768f2486da8f
