id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
14412,Polska,będziński,Będzin,Będzin,Podskarpie,54,42500,7f29b8ae33c46140315cb5cb89a8e4de6994c340
14560,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,"Powstańców Śląskich",33b,43230,be8029e52007d90760aaf4c270cf4f4a781fd0d3
14647,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Źródlana,27,43230,30ef727e84841c68dfc4f9057b0db17dfb34b631
14677,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Dębowa,20,43230,2de2952cdf8a655bd04ebdd4b5b9fc129ac042ff
14880,Polska,myszkowski,Żarki,Jaworznik,Wschodnia,11,42310,f60ada051be09ae89acea0bf203c3f72fbd32eac
14935,Polska,myszkowski,Żarki,Zaborze,Olsztyńska,5,42310,5f849c441e0955d1d1a89b08be1b8c645dcf504f
14939,Polska,myszkowski,Żarki,Zaborze,Leśna,25,42310,96e3fe477cc9c40be8f7368856c6e784d4e6d4d8
15044,Polska,myszkowski,Żarki,Żarki,Olszowa,9,42310,cfc2ac88ad77f4e450f34671c62849318a51abb7
15046,Polska,myszkowski,Żarki,Żarki,"Ofiar Katynia",30,42310,6af72ccd4e62258f888658e9e0dfe8f5e85c0b7b
15144,Polska,myszkowski,Żarki,Żarki,Myszkowska,36,42310,993276613c8be8c17203fb8b67c4cfea837ea1b3
15195,Polska,myszkowski,Żarki,Żarki,Różana,4,42310,4f7753d136c564dfae4a538c23dba08bf67cfbc4
15223,Polska,myszkowski,Żarki,Suliszowice,,47a,42310,c5d9bda78ac26999a47cfd649851f929300dca26
15258,Polska,myszkowski,Żarki,Przybynów,Szkolna,13,42310,e80ec988850f59d80f3523d00512ce689c607912
15401,Polska,myszkowski,Żarki,Żarki,"Tadeusza Kościuszki",21,42310,c9afadd3ea5ba5bc7ad727ebc6e37cbc389b5314
15467,Polska,myszkowski,Żarki,Żarki,"Cypriana Kamila Norwida",10,42310,ec073240dbc31535db8c301dd02dc9fe3911a3ce
15624,Polska,cieszyński,Strumień,Strumień,Wspólna,38,43246,6dbc90b361ec674fdc17c9371cf23a8aa540dd00
15705,Polska,cieszyński,Strumień,Pruchna,Cicha,9,43523,e579412487ab66a5e03a6e02bed3b34fced91f33
